bom_id,category,material_name,base_quantity,unit,wastage_percent,final_quantity,unit_rate_inr,total_cost_inr,region,season,grade
BOM-0038,Electrical,Switches,287.41,sqft,24.92,359.03,517.96,185963.18,west,normal,Standard
BOM-0039,Carpentry,Edge Band,92.53,sqft,24.47,115.17,538.1,61972.98,west,summer,Premium
BOM-0040,Carpentry,Plywood,19.79,sqft,16.11,22.98,830.67,19088.8,west,summer,Standard
BOM-0041,Plumbing,CPVC Pipe,28.63,sqft,11.16,31.83,551.73,17561.57,west,summer,Premium
BOM-0042,Carpentry,Laminate,282.77,sqft,17.68,332.76,537.87,178981.62,south,monsoon,Standard
BOM-0043,Painting,Primer,198.93,sqft,17.61,233.96,312.08,73014.24,north,summer,Premium
BOM-0044,Carpentry,Edge Band,83.36,sqft,10.22,91.88,595.13,54680.54,north,normal,Standard
BOM-0045,Carpentry,Plywood,140.19,sqft,24.97,175.2,896.64,157091.33,south,monsoon,Standard
BOM-0046,Plumbing,CPVC Pipe,83.23,sqft,23.87,103.1,797.54,82226.37,south,normal,Premium
BOM-0047,Carpentry,Adhesive,134.26,kg,17.23,157.39,300.16,47242.18,west,monsoon,Standard
BOM-0048,Electrical,Wires,246.05,sqft,13.09,278.26,610.51,169880.51,south,normal,Standard
BOM-0049,Carpentry,Laminate,224.01,sqft,10.64,247.84,282.31,69967.71,south,monsoon,Premium
BOM-0050,Carpentry,Edge Band,207.81,sqft,22.5,254.57,474.65,120831.65,north,summer,Standard
BOM-0051,Electrical,Wires,129.95,sqft,12.7,146.45,43.05,6304.67,south,monsoon,Premium
BOM-0052,Carpentry,Adhesive,223.66,kg,17.38,262.53,407.81,107062.36,south,summer,Standard
BOM-0053,Electrical,Switches,271.66,sqft,17.28,318.6,757.75,241419.15,west,monsoon,Standard
BOM-0054,Painting,Primer,42.6,sqft,13.24,48.24,813.12,39224.91,south,normal,Standard
BOM-0055,Electrical,Wires,78.61,sqft,9.75,86.27,710.9,61329.34,north,monsoon,Standard
BOM-0056,Carpentry,Edge Band,260.06,sqft,24.6,324.03,737.26,238894.36,north,summer,Standard
BOM-0057,Electrical,Switches,277.72,sqft,21.3,336.87,394.07,132750.36,west,monsoon,Standard
BOM-0058,Carpentry,Hinges,51.96,sqft,19.92,62.31,368.99,22991.77,south,normal,Standard
BOM-0059,Carpentry,Edge Band,245.89,sqft,15.83,284.81,302.46,86143.63,south,summer,Standard
BOM-0060,Electrical,Wires,61.97,sqft,13.58,70.39,783.34,55139.3,north,normal,Premium
BOM-0061,Electrical,Wires,294.44,sqft,17.12,344.85,847.74,292343.14,south,normal,Standard
BOM-0062,Plumbing,UPVC Pipe,288.95,sqft,12.51,325.1,133.23,43313.07,north,normal,Premium
BOM-0063,Painting,Primer,183.83,sqft,16.69,214.51,371.27,79641.13,west,summer,Premium
BOM-0064,Carpentry,Plywood,214.09,sqft,8.03,231.28,835.99,193347.77,west,monsoon,Standard
BOM-0065,Painting,Emulsion Paint,132.23,sqft,24.13,164.14,831.86,136541.5,west,normal,Standard
BOM-0066,Electrical,Switches,270.51,sqft,16.62,315.47,613.53,193550.31,north,normal,Premium
BOM-0067,Plumbing,CPVC Pipe,42.55,sqft,15.15,49.0,848.71,41586.79,west,monsoon,Standard
BOM-0068,Plumbing,UPVC Pipe,172.89,sqft,14.9,198.65,757.0,150378.05,north,normal,Standard
BOM-0069,Painting,Primer,236.8,sqft,18.31,280.16,317.13,88847.14,north,normal,Standard
BOM-0070,Plumbing,CPVC Pipe,144.59,sqft,23.32,178.31,724.58,129199.86,south,monsoon,Standard
BOM-0071,Carpentry,Hinges,157.06,sqft,18.76,186.52,328.26,61227.06,south,monsoon,Premium
BOM-0072,Carpentry,Edge Band,242.94,sqft,10.51,268.47,79.74,21407.8,north,monsoon,Standard
BOM-0073,Painting,Putty,127.26,kg,18.71,151.07,207.21,31303.21,west,normal,Premium
BOM-0074,Painting,Primer,76.98,sqft,19.15,91.72,44.77,4106.3,south,normal,Standard
BOM-0075,Carpentry,Adhesive,242.21,kg,19.83,290.24,439.51,127563.38,west,summer,Standard
BOM-0076,Painting,Putty,44.34,kg,15.9,51.39,496.77,25529.01,west,monsoon,Premium
BOM-0077,Painting,Putty,185.73,kg,20.23,223.3,474.11,105868.76,west,normal,Standard
BOM-0078,Electrical,Switches,259.14,sqft,15.65,299.7,686.53,205753.04,west,normal,Premium
BOM-0079,Electrical,Wires,75.58,sqft,15.48,87.28,653.65,57050.57,south,normal,Premium
BOM-0080,Painting,Emulsion Paint,268.44,sqft,9.37,293.59,169.71,49825.16,north,monsoon,Standard
BOM-0081,Electrical,Switches,68.12,sqft,15.05,78.37,324.56,25435.77,north,normal,Standard
BOM-0082,Carpentry,Edge Band,250.7,sqft,14.62,287.35,702.02,201725.45,west,summer,Premium
BOM-0083,Painting,Putty,6.74,kg,13.98,7.68,687.99,5283.76,north,monsoon,Standard
BOM-0084,Painting,Putty,69.73,kg,15.41,80.48,64.96,5227.98,north,monsoon,Premium
BOM-0085,Electrical,Switches,53.69,sqft,15.95,62.25,149.76,9322.56,west,monsoon,Standard
BOM-0086,Painting,Primer,179.61,sqft,19.27,214.22,112.19,24033.34,north,summer,Premium
BOM-0087,Carpentry,Adhesive,19.83,kg,14.44,22.69,222.03,5037.86,north,normal,Premium
BOM-0088,Carpentry,Hinges,226.84,sqft,22.14,277.06,256.95,71190.57,south,normal,Standard
BOM-0089,Electrical,Switches,164.13,sqft,25.0,205.16,340.97,69953.41,west,summer,Standard
BOM-0090,Carpentry,Plywood,285.14,sqft,11.39,317.62,57.53,18272.68,south,summer,Standard
BOM-0091,Painting,Putty,202.49,kg,17.59,238.11,227.45,54158.12,west,normal,Premium
BOM-0092,Carpentry,Adhesive,183.74,kg,24.38,228.54,657.79,150331.33,south,normal,Standard
BOM-0093,Plumbing,UPVC Pipe,12.58,sqft,13.3,14.25,622.52,8870.91,north,normal,Standard
BOM-0094,Carpentry,Laminate,179.67,sqft,22.12,219.41,248.85,54600.18,west,normal,Standard
BOM-0095,Plumbing,UPVC Pipe,235.88,sqft,13.9,268.67,408.41,109727.51,north,summer,Premium
BOM-0096,Carpentry,Plywood,255.62,sqft,21.98,311.81,130.76,40772.28,north,monsoon,Premium
BOM-0097,Electrical,Switches,50.13,sqft,10.99,55.64,488.7,27191.27,west,normal,Premium
BOM-0098,Painting,Putty,133.49,kg,20.43,160.76,270.82,43537.02,south,summer,Premium
BOM-0099,Painting,Putty,76.94,kg,15.9,89.17,564.89,50371.24,north,normal,Standard
BOM-0100,Painting,Putty,256.03,kg,11.09,284.42,222.42,63260.7,north,normal,Premium
BOM-0101,Plumbing,UPVC Pipe,211.85,sqft,12.7,238.75,48.73,11634.29,south,summer,Standard
BOM-0102,Electrical,Switches,124.9,sqft,17.44,146.68,246.68,36183.02,north,monsoon,Premium
BOM-0103,Painting,Putty,238.92,kg,9.58,261.81,230.57,60365.53,west,summer,Premium
BOM-0104,Electrical,Wires,176.56,sqft,16.05,204.9,496.59,101751.29,north,monsoon,Premium
BOM-0105,Painting,Emulsion Paint,212.34,sqft,12.61,239.12,256.21,61264.94,south,monsoon,Standard
BOM-0106,Painting,Emulsion Paint,40.27,sqft,17.11,47.16,695.48,32798.84,south,summer,Standard
BOM-0107,Electrical,Switches,147.84,sqft,20.32,177.88,879.88,156513.05,west,monsoon,Premium
BOM-0108,Carpentry,Laminate,250.63,sqft,13.04,283.31,350.36,99260.49,north,summer,Standard
BOM-0109,Carpentry,Hinges,18.43,sqft,8.93,20.08,291.24,5848.1,south,monsoon,Premium
BOM-0110,Carpentry,Laminate,262.45,sqft,17.76,309.06,443.68,137123.74,north,normal,Standard
BOM-0111,Carpentry,Plywood,79.48,sqft,22.65,97.48,138.11,13462.96,south,normal,Premium
BOM-0112,Carpentry,Laminate,175.22,sqft,19.67,209.69,170.49,35750.05,west,normal,Standard
BOM-0113,Carpentry,Edge Band,39.94,sqft,21.0,48.33,561.43,27133.91,west,summer,Premium
BOM-0114,Painting,Putty,273.01,kg,13.06,308.67,546.13,168573.95,north,normal,Standard
BOM-0115,Plumbing,UPVC Pipe,288.23,sqft,9.69,316.16,695.95,220031.55,west,summer,Premium
BOM-0116,Electrical,Wires,28.95,sqft,12.08,32.45,514.71,16702.34,south,summer,Premium
BOM-0117,Painting,Putty,208.36,kg,15.99,241.68,68.07,16451.16,north,monsoon,Premium
BOM-0118,Electrical,Switches,258.58,sqft,9.21,282.4,240.74,67984.98,north,monsoon,Standard
BOM-0119,Painting,Primer,38.86,sqft,11.82,43.45,168.13,7305.25,north,summer,Standard
BOM-0120,Carpentry,Plywood,53.95,sqft,13.23,61.09,684.1,41791.67,west,normal,Premium
BOM-0121,Carpentry,Laminate,143.27,sqft,13.17,162.14,386.16,62611.98,north,monsoon,Premium
BOM-0122,Painting,Putty,28.73,kg,8.68,31.22,411.54,12848.28,north,monsoon,Premium
BOM-0123,Carpentry,Plywood,31.94,sqft,24.35,39.72,758.92,30144.3,west,monsoon,Standard
BOM-0124,Electrical,Wires,247.32,sqft,17.8,291.34,696.27,202851.3,south,normal,Premium
BOM-0125,Carpentry,Hinges,58.54,sqft,17.95,69.05,585.91,40457.09,north,summer,Premium
BOM-0126,Painting,Emulsion Paint,125.46,sqft,13.46,142.35,129.96,18499.81,south,normal,Premium
BOM-0127,Electrical,Switches,151.16,sqft,19.26,180.27,384.39,69293.99,west,summer,Premium
BOM-0128,Carpentry,Laminate,97.78,sqft,13.5,110.98,874.36,97036.47,north,monsoon,Standard
BOM-0129,Electrical,Wires,261.46,sqft,15.85,302.9,86.62,26237.2,west,normal,Premium
BOM-0130,Electrical,Wires,135.4,sqft,8.88,147.42,269.67,39754.75,south,normal,Premium
BOM-0131,Electrical,Switches,147.99,sqft,8.49,160.55,581.82,93411.2,south,monsoon,Standard
BOM-0132,Carpentry,Hinges,167.5,sqft,17.39,196.63,120.16,23627.06,south,normal,Standard
BOM-0133,Electrical,Wires,250.48,sqft,16.47,291.73,656.28,191456.56,west,monsoon,Premium
BOM-0134,Painting,Primer,251.24,sqft,24.66,313.2,249.61,78177.85,west,summer,Premium
BOM-0135,Carpentry,Edge Band,276.95,sqft,16.64,323.03,796.22,257202.95,south,normal,Premium
BOM-0136,Painting,Emulsion Paint,280.6,sqft,16.63,327.26,745.67,244027.96,north,monsoon,Premium
BOM-0137,Plumbing,UPVC Pipe,176.08,sqft,19.22,209.92,784.12,164602.47,north,monsoon,Premium
BOM-0138,Painting,Emulsion Paint,103.07,sqft,20.97,124.68,364.4,45433.39,north,summer,Standard
BOM-0139,Plumbing,UPVC Pipe,117.98,sqft,22.55,144.58,393.27,56858.98,north,monsoon,Premium
BOM-0140,Electrical,Switches,274.46,sqft,14.48,314.2,890.04,279650.57,west,summer,Premium
BOM-0141,Carpentry,Plywood,42.24,sqft,24.41,52.55,325.52,17106.08,south,normal,Standard
BOM-0142,Plumbing,CPVC Pipe,273.58,sqft,8.26,296.18,163.97,48564.63,west,summer,Standard
BOM-0143,Painting,Putty,235.55,kg,12.51,265.02,576.0,152651.52,north,monsoon,Standard
BOM-0144,Painting,Emulsion Paint,256.44,sqft,22.61,314.42,366.81,115332.4,north,monsoon,Premium
BOM-0145,Plumbing,CPVC Pipe,15.59,sqft,9.16,17.02,582.8,9919.26,north,summer,Standard
BOM-0146,Painting,Primer,293.61,sqft,20.93,355.06,645.35,229137.97,south,normal,Standard
BOM-0147,Electrical,Switches,93.34,sqft,8.49,101.26,318.96,32297.89,south,normal,Premium
BOM-0148,Painting,Emulsion Paint,132.05,sqft,12.15,148.09,394.36,58400.77,west,summer,Standard
BOM-0149,Carpentry,Adhesive,28.3,kg,22.8,34.75,572.95,19910.01,south,normal,Standard
BOM-0150,Carpentry,Edge Band,141.04,sqft,12.32,158.42,259.58,41122.66,south,normal,Premium
BOM-0151,Electrical,Wires,166.25,sqft,9.26,181.64,852.9,154920.76,west,normal,Premium
BOM-0152,Electrical,Switches,78.78,sqft,22.37,96.4,211.33,20372.21,north,normal,Standard
BOM-0153,Carpentry,Edge Band,117.5,sqft,14.1,134.07,294.45,39476.91,west,normal,Standard
BOM-0154,Electrical,Wires,121.76,sqft,8.14,131.67,783.96,103224.01,west,summer,Premium
BOM-0155,Carpentry,Hinges,233.84,sqft,11.91,261.69,729.66,190944.73,south,monsoon,Standard
BOM-0156,Plumbing,UPVC Pipe,78.93,sqft,20.84,95.38,700.02,66767.91,west,summer,Standard
BOM-0157,Electrical,Wires,195.67,sqft,13.25,221.6,419.11,92874.78,west,normal,Standard
BOM-0158,Carpentry,Laminate,273.34,sqft,13.55,310.38,397.33,123323.29,south,summer,Premium
BOM-0159,Plumbing,CPVC Pipe,153.03,sqft,12.63,172.36,181.51,31285.06,north,normal,Premium
BOM-0160,Carpentry,Laminate,143.16,sqft,9.28,156.45,688.57,107726.78,south,monsoon,Premium
BOM-0161,Plumbing,CPVC Pipe,112.9,sqft,21.44,137.11,51.97,7125.61,west,summer,Premium
BOM-0162,Painting,Emulsion Paint,203.48,sqft,19.43,243.02,542.72,131891.81,west,normal,Standard
BOM-0163,Electrical,Wires,73.98,sqft,8.43,80.22,800.44,64211.3,west,normal,Standard
BOM-0164,Electrical,Wires,23.65,sqft,22.01,28.86,822.07,23724.94,north,monsoon,Premium
BOM-0165,Carpentry,Laminate,46.23,sqft,24.09,57.37,301.75,17311.4,north,summer,Standard
BOM-0166,Carpentry,Edge Band,266.74,sqft,10.31,294.24,430.13,126561.45,west,monsoon,Premium
BOM-0167,Plumbing,UPVC Pipe,223.97,sqft,10.63,247.78,396.8,98319.1,south,normal,Premium
BOM-0168,Carpentry,Hinges,14.65,sqft,14.3,16.74,421.31,7052.73,south,normal,Standard
BOM-0169,Electrical,Wires,113.36,sqft,23.33,139.81,594.55,83124.04,south,normal,Premium
BOM-0170,Carpentry,Edge Band,290.62,sqft,24.13,360.75,748.8,270129.6,south,monsoon,Standard
BOM-0171,Electrical,Wires,193.65,sqft,24.51,241.11,83.5,20132.69,north,summer,Standard
BOM-0172,Plumbing,UPVC Pipe,65.54,sqft,22.11,80.03,516.62,41345.1,west,summer,Standard
BOM-0173,Painting,Emulsion Paint,233.44,sqft,21.41,283.42,552.54,156600.89,north,summer,Standard
BOM-0174,Plumbing,CPVC Pipe,78.94,sqft,10.97,87.6,608.51,53305.48,south,summer,Standard
BOM-0175,Painting,Emulsion Paint,238.05,sqft,12.04,266.71,318.44,84931.13,south,normal,Standard
BOM-0176,Carpentry,Adhesive,223.81,kg,16.94,261.72,681.27,178301.98,north,normal,Premium
BOM-0177,Plumbing,CPVC Pipe,180.13,sqft,15.68,208.37,230.53,48035.54,west,summer,Premium
BOM-0178,Painting,Putty,194.79,kg,8.53,211.41,898.78,190011.08,north,normal,Standard
BOM-0179,Painting,Putty,215.16,kg,15.54,248.6,813.37,202203.78,north,monsoon,Standard
BOM-0180,Carpentry,Laminate,42.23,sqft,18.61,50.09,543.41,27219.41,west,normal,Premium
BOM-0181,Plumbing,UPVC Pipe,161.51,sqft,15.71,186.88,560.67,104778.01,south,monsoon,Standard
BOM-0182,Electrical,Wires,197.02,sqft,21.07,238.53,659.92,157410.72,south,normal,Premium
BOM-0183,Carpentry,Edge Band,127.08,sqft,22.07,155.13,382.91,59400.83,west,summer,Premium
BOM-0184,Painting,Primer,97.19,sqft,12.33,109.17,860.09,93896.03,west,normal,Standard
BOM-0185,Carpentry,Laminate,250.37,sqft,9.58,274.36,123.05,33760.0,west,normal,Standard
BOM-0186,Plumbing,CPVC Pipe,22.69,sqft,24.26,28.19,523.05,14744.78,west,summer,Premium
BOM-0187,Painting,Emulsion Paint,262.71,sqft,24.0,325.76,403.73,131519.08,west,summer,Premium
BOM-0188,Plumbing,UPVC Pipe,97.17,sqft,9.76,106.65,476.37,50804.86,south,monsoon,Premium
BOM-0189,Carpentry,Edge Band,254.95,sqft,13.95,290.52,518.39,150602.66,south,normal,Standard
BOM-0190,Painting,Primer,254.32,sqft,24.57,316.81,743.85,235659.12,west,monsoon,Standard
BOM-0191,Plumbing,UPVC Pipe,279.08,sqft,22.1,340.76,270.01,92008.61,south,normal,Premium
BOM-0192,Painting,Emulsion Paint,108.55,sqft,11.08,120.58,163.2,19678.66,west,normal,Standard
BOM-0193,Carpentry,Adhesive,223.59,kg,24.52,278.41,118.91,33105.73,west,summer,Premium
BOM-0194,Painting,Primer,138.83,sqft,10.68,153.66,308.01,47328.82,north,monsoon,Standard
BOM-0195,Carpentry,Plywood,50.9,sqft,20.83,61.5,82.8,5092.2,south,normal,Premium
BOM-0196,Electrical,Wires,130.08,sqft,18.32,153.91,396.2,60979.14,south,monsoon,Standard
BOM-0197,Painting,Emulsion Paint,131.82,sqft,12.82,148.72,623.5,92726.92,north,monsoon,Premium
BOM-0198,Carpentry,Plywood,70.05,sqft,24.74,87.38,87.11,7611.67,south,normal,Standard
BOM-0199,Carpentry,Adhesive,230.43,kg,12.92,260.2,143.19,37258.04,north,monsoon,Premium
BOM-0200,Carpentry,Adhesive,43.11,kg,17.05,50.46,237.9,12004.43,west,monsoon,Premium
BOM-0201,Carpentry,Laminate,122.14,sqft,20.61,147.31,415.15,61155.75,north,summer,Premium
BOM-0202,Plumbing,UPVC Pipe,131.64,sqft,14.88,151.23,590.52,89304.34,north,summer,Premium
BOM-0203,Carpentry,Plywood,290.03,sqft,10.92,321.7,854.95,275037.41,north,monsoon,Premium
BOM-0204,Carpentry,Laminate,133.83,sqft,9.8,146.95,414.68,60937.23,north,monsoon,Standard
BOM-0205,Painting,Primer,261.8,sqft,20.68,315.94,230.55,72839.97,south,summer,Standard
BOM-0206,Plumbing,CPVC Pipe,155.44,sqft,23.4,191.81,340.46,65303.63,west,monsoon,Standard
BOM-0207,Carpentry,Edge Band,35.33,sqft,12.35,39.69,189.21,7509.74,south,monsoon,Standard
BOM-0208,Carpentry,Adhesive,285.63,kg,18.68,338.99,439.0,148816.61,west,monsoon,Premium
BOM-0209,Electrical,Wires,277.63,sqft,17.6,326.49,586.36,191440.68,west,normal,Premium
BOM-0210,Carpentry,Adhesive,134.73,kg,15.97,156.25,582.99,91092.19,north,monsoon,Standard
BOM-0211,Painting,Emulsion Paint,154.66,sqft,13.28,175.2,428.65,75099.48,south,normal,Premium
BOM-0212,Carpentry,Laminate,195.18,sqft,24.62,243.23,117.65,28616.01,west,monsoon,Premium
BOM-0213,Painting,Putty,176.2,kg,24.22,218.88,675.47,147846.87,south,normal,Standard
BOM-0214,Painting,Emulsion Paint,183.48,sqft,16.52,213.79,863.64,184637.6,north,summer,Premium
BOM-0215,Electrical,Switches,29.88,sqft,18.98,35.55,73.66,2618.61,west,normal,Premium
BOM-0216,Plumbing,CPVC Pipe,159.21,sqft,10.7,176.25,360.65,63564.56,north,normal,Premium
BOM-0217,Painting,Emulsion Paint,205.27,sqft,8.89,223.52,582.56,130213.81,north,summer,Premium
BOM-0218,Carpentry,Laminate,169.6,sqft,14.57,194.31,256.72,49883.26,west,monsoon,Standard
BOM-0219,Painting,Emulsion Paint,29.04,sqft,19.28,34.64,828.4,28695.78,north,monsoon,Premium
BOM-0220,Carpentry,Adhesive,180.54,kg,23.95,223.78,306.24,68530.39,north,monsoon,Premium
BOM-0221,Carpentry,Adhesive,202.68,kg,22.09,247.45,675.35,167115.36,west,monsoon,Standard
BOM-0222,Electrical,Wires,202.78,sqft,16.64,236.52,55.68,13169.43,north,summer,Standard
BOM-0223,Painting,Emulsion Paint,284.56,sqft,16.27,330.86,234.83,77695.85,south,summer,Standard
BOM-0224,Carpentry,Hinges,254.11,sqft,9.72,278.81,702.95,195989.49,west,monsoon,Standard
BOM-0225,Electrical,Wires,104.35,sqft,21.03,126.29,152.7,19284.48,north,summer,Standard
BOM-0226,Carpentry,Adhesive,250.25,kg,21.11,303.08,735.78,223000.2,south,monsoon,Premium
BOM-0227,Carpentry,Plywood,126.2,sqft,19.5,150.81,244.28,36839.87,north,monsoon,Premium
BOM-0228,Electrical,Switches,236.22,sqft,11.98,264.52,245.68,64987.27,north,summer,Premium
BOM-0229,Electrical,Wires,284.4,sqft,24.74,354.76,437.04,155044.31,north,normal,Premium
BOM-0230,Carpentry,Adhesive,245.98,kg,21.62,299.16,159.02,47572.42,north,summer,Premium
BOM-0231,Painting,Emulsion Paint,168.59,sqft,9.74,185.01,767.47,141989.62,south,normal,Standard
BOM-0232,Carpentry,Adhesive,85.47,kg,23.39,105.46,166.72,17582.29,north,summer,Standard
BOM-0233,Painting,Putty,265.97,kg,23.82,329.32,396.81,130677.47,north,monsoon,Premium
BOM-0234,Carpentry,Edge Band,118.92,sqft,9.39,130.09,233.1,30323.98,north,summer,Premium
BOM-0235,Carpentry,Adhesive,45.59,kg,12.88,51.46,753.59,38779.74,west,summer,Premium
BOM-0236,Painting,Putty,186.53,kg,23.4,230.18,56.34,12968.34,south,summer,Premium
BOM-0237,Carpentry,Laminate,233.97,sqft,12.04,262.14,144.79,37955.25,south,normal,Premium
BOM-0238,Carpentry,Laminate,37.7,sqft,23.39,46.52,553.2,25734.86,south,monsoon,Standard
BOM-0239,Electrical,Switches,47.36,sqft,15.3,54.61,568.74,31058.89,south,monsoon,Premium
BOM-0240,Carpentry,Adhesive,200.99,kg,9.46,220.0,878.2,193204.0,south,monsoon,Standard
BOM-0241,Painting,Primer,262.63,sqft,8.74,285.58,372.72,106441.38,north,normal,Standard
BOM-0242,Painting,Emulsion Paint,237.61,sqft,13.86,270.54,670.33,181351.08,west,summer,Premium
BOM-0243,Carpentry,Adhesive,18.08,kg,17.28,21.2,739.62,15679.94,south,monsoon,Premium
BOM-0244,Electrical,Switches,146.17,sqft,11.1,162.39,155.97,25327.97,west,normal,Standard
BOM-0245,Carpentry,Hinges,64.47,sqft,21.45,78.3,801.78,62779.37,north,normal,Premium
BOM-0246,Plumbing,CPVC Pipe,144.65,sqft,8.62,157.12,596.33,93695.37,north,normal,Standard
BOM-0247,Electrical,Wires,102.92,sqft,10.12,113.34,356.5,40405.71,north,monsoon,Premium
BOM-0248,Painting,Primer,105.02,sqft,11.18,116.76,635.18,74163.62,north,monsoon,Premium
BOM-0249,Carpentry,Laminate,219.49,sqft,9.34,239.99,558.11,133940.82,south,monsoon,Premium
BOM-0250,Painting,Emulsion Paint,35.27,sqft,13.57,40.06,294.25,11787.66,north,monsoon,Premium
BOM-0251,Carpentry,Adhesive,208.48,kg,13.98,237.63,76.43,18162.06,north,monsoon,Premium
BOM-0252,Carpentry,Hinges,193.64,sqft,21.46,235.2,89.33,21010.42,west,monsoon,Premium
BOM-0253,Painting,Emulsion Paint,156.36,sqft,20.75,188.8,177.59,33528.99,south,summer,Premium
BOM-0254,Carpentry,Plywood,42.24,sqft,12.01,47.31,594.84,28141.88,north,normal,Standard
BOM-0255,Plumbing,UPVC Pipe,50.26,sqft,15.65,58.13,359.03,20870.41,north,summer,Standard
BOM-0256,Plumbing,CPVC Pipe,113.25,sqft,13.34,128.36,279.67,35898.44,south,summer,Standard
BOM-0257,Painting,Putty,157.73,kg,23.53,194.84,141.27,27525.05,north,monsoon,Premium
BOM-0258,Carpentry,Edge Band,298.93,sqft,12.85,337.34,828.17,279374.87,north,summer,Standard
BOM-0259,Carpentry,Adhesive,256.58,kg,15.68,296.81,812.86,241264.98,north,summer,Premium
BOM-0260,Electrical,Wires,107.49,sqft,9.1,117.27,506.27,59370.28,north,summer,Standard
BOM-0261,Painting,Emulsion Paint,155.08,sqft,10.06,170.68,212.84,36327.53,south,summer,Premium
BOM-0262,Carpentry,Plywood,111.46,sqft,17.73,131.22,441.97,57995.3,west,summer,Standard
BOM-0263,Carpentry,Laminate,96.24,sqft,24.99,120.29,658.23,79178.49,west,normal,Premium
