material,normalized_material,industry,region,grade,confidence,season,wbs_id,acceptance_stage_prediction_accuracy,acceptance_duration_mape,dependencies,wbs_stage_key,task_id,task_name,stage,stage_name,dur_optimistic_hours,dur_most_likely_hours,dur_pessimistic_hours,dur_expected_hours,planned_quantity,actual_quantity,quantity_variance,planned_rate,actual_rate,rate_variance,planned_cost,actual_cost,cost_variance,material_issued_qty,material_consumed_qty,material_returned_qty,material_wastage_qty,planned_start_date,planned_end_date,executed_start_date,executed_end_date,planned_labor_hours,actual_labor_hours,planned_labor_cost,labor_cost_actual,crew_size,machinery_used,weather_condition,site_condition,dpr_date,daily_progress,ncr_count,rework_quantity,rework_cost,deviation_reason
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",QC,QC01,Water Quality Check,4,QC,8.53,7.64,7.7,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underground sump cleaning upto 50KL including sludge removal and disinfection,underground sump cleaning upto 50kl including sludge removal and disinfection,Tank Cleaning,central,B,0.9,normal,19d79796-295e-4592-ab5f-e2dcf07ba142,96.81%,9.58%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Billing,BI01,Final Billing,5,Billing,2.11,2.43,3.57,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhead tank cleaning upto 10KL capacity including brushing and chemical wash,overhead tank cleaning upto 10kl capacity including brushing and chemical wash,Tank Cleaning,central,B,0.9,normal,24f68abc-105c-49c6-99e5-24ec7e36acac,97.96%,10.57%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Planning,PL01,Site Inspection And Planning,1,Planning,2.91,3.18,3.43,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhead tank cleaning upto 10KL capacity including brushing and chemical wash,overhead tank cleaning upto 10kl capacity including brushing and chemical wash,Tank Cleaning,central,B,0.9,normal,24f68abc-105c-49c6-99e5-24ec7e36acac,97.96%,10.57%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Planning,PL02,Method Statement Finalization,1,Planning,7.62,7.96,7.68,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhead tank cleaning upto 10KL capacity including brushing and chemical wash,overhead tank cleaning upto 10kl capacity including brushing and chemical wash,Tank Cleaning,central,B,0.9,normal,24f68abc-105c-49c6-99e5-24ec7e36acac,97.96%,10.57%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Planning,PL03,Layout Marking,1,Planning,4.47,6.6,6.48,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhead tank cleaning upto 10KL capacity including brushing and chemical wash,overhead tank cleaning upto 10kl capacity including brushing and chemical wash,Tank Cleaning,central,B,0.9,normal,24f68abc-105c-49c6-99e5-24ec7e36acac,97.96%,10.57%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Procurement,PR01,Chemical Procurement,2,Procurement,5.6,5.94,6.33,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhead tank cleaning upto 10KL capacity including brushing and chemical wash,overhead tank cleaning upto 10kl capacity including brushing and chemical wash,Tank Cleaning,central,B,0.9,normal,24f68abc-105c-49c6-99e5-24ec7e36acac,97.96%,10.57%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Procurement,PR02,Ppe Procurement,2,Procurement,6.34,6.32,5.74,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhead tank cleaning upto 10KL capacity including brushing and chemical wash,overhead tank cleaning upto 10kl capacity including brushing and chemical wash,Tank Cleaning,central,B,0.9,normal,24f68abc-105c-49c6-99e5-24ec7e36acac,97.96%,10.57%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX01,Sludge Removal,3,Execution,7.88,12.85,16.87,12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhead tank cleaning upto 10KL capacity including brushing and chemical wash,overhead tank cleaning upto 10kl capacity including brushing and chemical wash,Tank Cleaning,central,B,0.9,normal,24f68abc-105c-49c6-99e5-24ec7e36acac,97.96%,10.57%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX02,Scrubbing,3,Execution,7.48,11.79,16.56,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhead tank cleaning upto 10KL capacity including brushing and chemical wash,overhead tank cleaning upto 10kl capacity including brushing and chemical wash,Tank Cleaning,central,B,0.9,normal,24f68abc-105c-49c6-99e5-24ec7e36acac,97.96%,10.57%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX03,Chemical Cleaning,3,Execution,8.33,7.7,7.65,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhead tank cleaning upto 10KL capacity including brushing and chemical wash,overhead tank cleaning upto 10kl capacity including brushing and chemical wash,Tank Cleaning,central,B,0.9,normal,24f68abc-105c-49c6-99e5-24ec7e36acac,97.96%,10.57%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX04,Rinsing,3,Execution,8.2,12.27,17.5,12.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhead tank cleaning upto 10KL capacity including brushing and chemical wash,overhead tank cleaning upto 10kl capacity including brushing and chemical wash,Tank Cleaning,central,B,0.9,normal,24f68abc-105c-49c6-99e5-24ec7e36acac,97.96%,10.57%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX05,Disinfection,3,Execution,7.96,7.98,7.45,8.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
